batch_id	path
B001	docs/superpowers/reports/2026-07-12-cas-archaeology/00-REPORT.md
B001	docs/superpowers/cas/01-architecture.md
B001	docs/superpowers/reports/2026-07-12-cas-archaeology/01-frontend.md
B001	docs/superpowers/cas/02-methodology.md
B001	docs/superpowers/reports/2026-07-12-cas-archaeology/02-store-core.md
B001	docs/superpowers/reports/2026-07-12-cas-archaeology/03-gc-refs.md
B001	docs/superpowers/cas/03-writer-protocol.md
B002	docs/superpowers/cas/04-gc-protocol.md
B002	docs/superpowers/reports/2026-07-12-cas-archaeology/04-ops-mounts.md
B002	docs/superpowers/cas/05-formats-and-backend.md
B002	docs/superpowers/reports/2026-07-12-cas-archaeology/05-integration.md
B002	docs/superpowers/reports/2026-07-12-cas-archaeology/06-tests.md
B002	docs/superpowers/cas/06-tla-models.md
B003	docs/superpowers/reports/2026-07-12-cas-archaeology/07-history.md
B003	docs/superpowers/cas/07-s3-budget.md
B003	docs/superpowers/cas/08-testing-and-soak.md
B003	docs/superpowers/cas/09-read-protocol.md
B003	docs/superpowers/cas/10-backups.md
B004	docs/superpowers/cas/11-walkthrough.md
B004	docs/superpowers/plans/2026-07-01-cas-shard-incarnation-and-registry-removal.md
B004	docs/superpowers/specs/2026-07-01-cas-shard-incarnation-and-registry-removal-design.md
B004	docs/superpowers/specs/2026-07-02-cas-copy-forward-condemned-evidence.md
B004	docs/superpowers/plans/2026-07-02-cas-docs-consolidation.md
B004	docs/superpowers/specs/2026-07-02-cas-docs-consolidation-design.md
B004	docs/superpowers/plans/2026-07-02-cas-gc-ack-floor-fence.md
B005	docs/superpowers/specs/2026-07-02-cas-gc-ack-floor-fence-redesign.md
B005	docs/superpowers/plans/2026-07-02-cas-gc-snapshot-streaming.md
B005	docs/superpowers/specs/2026-07-02-cas-gc-snapshot-streaming-design.md
B005	docs/superpowers/plans/2026-07-02-cas-mount-crash-recovery.md
B005	docs/superpowers/specs/2026-07-02-cas-mount-crash-recovery-design.md
B005	docs/superpowers/reports/2026-07-02-d1-soak-1h.md
B005	docs/superpowers/reports/2026-07-02-d2-scenario-triage.md
B005	docs/superpowers/plans/2026-07-03-cas-gc-rebuild.md
B005	docs/superpowers/specs/2026-07-03-cas-gc-rebuild-design.md
B005	docs/superpowers/plans/2026-07-03-cas-gcs-generation-binding.md
B005	docs/superpowers/specs/2026-07-03-cas-gcs-generation-binding-design.md
B006	docs/superpowers/specs/2026-07-03-cas-shard-mutation-queue.md
B006	docs/superpowers/worklogs/2026-07-03-real-s3-validation.md
B006	docs/superpowers/worklogs/2026-07-03-scenarios-full-scale-campaign.md
B006	docs/superpowers/worklogs/2026-07-03-unattended-night.md
B006	docs/superpowers/plans/2026-07-06-cas-gc-round-skip-unchanged.md
