architecture/blob-protocol	B040-108	Persisted token values remain opaque strings and token_type, rather than provider-specific string shape, determines whether a token is ETag, generation, or emulated
architecture/blob-protocol	B040-166	The v3 cas_blob header occupies exactly 256 bytes: JSON occupies [0,json_len), spaces occupy [json_len,255), and byte 255 is a newline
architecture/blob-protocol	B040-167	The v3 cas_blob tag is a fresh random u128 per upload attempt and is the exact-token delete primitive; bld attributes newborn debris to the writer build
architecture/blob-protocol	B040-168	The v3 cas_blob envelope retains constant payload offset blob_header_len = 256 and does not use frame-level compression because payload identity is the raw bytes
architecture/blob-protocol	B040-177	Provider metadata is only a mirror for eyes and dashboards; the CAS protocol never reads it and must fail closed if it is absent
architecture/blob-protocol	B042-044	RustFS has demonstrably returned incomplete LIST results, while AWS S3 was untested in the cited investigation; correctness cannot rely on assumed store LIST behavior.
architecture/blob-protocol	B043-021	Freshness metadata is advisory: writers may point-read per-hash `.meta`, but reads do not consult it, GC deletes the blob body first, and an absent meta is equivalent to `Clean`.
architecture/blob-protocol	B043-070	Mutable and control protobuf objects should use `CasHeader`; streamed blob payloads should keep a binary envelope, and GC data-plane runs should use `RunFile`.
architecture/blob-protocol	B044-021	CAS blobs and manifests are immutable, content-addressed, write-once objects, and GC is required to preserve no dangle, no returned token, and over-count rather than under-count.
architecture/blob-protocol	B044-040	Persisted `BlobRef` fields use `ha` for the hash algorithm and `h` for the digest hex, and the searched user-facing tools contain no `p` JSON/output key.
architecture/blob-protocol	B044-059	Setting `metadata_type` to `cas` makes an object-storage disk content-addressed, shares identical content across parts or tables, and enables background reclamation after references disappear.
architecture/blob-protocol	B047-044	CAS integration configs use `<metadata_type>cas</metadata_type>` and the relink test asserts the wire literals `cas_pool_uuid`, `cas_relink=part_manifest_v2`, and `cas_source_token`.
architecture/blob-protocol	B049-057	`uploadPendingBlobs` creates one `Cas::BlobUploadRequest` per referenced pending blob and delegates to the free function `DB::Cas::fanOutBlobUploads(build, requests, pool, hooks=nullptr)`.
architecture/blob-protocol	B049-060	Fan-out tasks write only their own pre-sized stable result slot; the runner is declared after the result vector so its destructor drains every task before the vector is destroyed, including a dispatch-loop throw (`B90`).
architecture/blob-protocol	B049-061	`waitForAllToFinishAndRethrowFirstError` drains all tasks and then rethrows the first failure in ascending-ref order, and a rethrow bypasses merging results.
architecture/blob-protocol	B049-065	Duplicate blob references collapse to one upload task, and conflicting duplicate declared sizes are rejected with `LOGICAL_ERROR`.
architecture/blob-protocol	B049-067	Fan-out concurrency is bounded by the supplied pool size: pool 2 reaches peak concurrency 2, while pool 1 degenerates to serial execution with a bounded wait.
architecture/blob-protocol	B049-068	`clickhouse-local` initializes the blob-upload pool from `content_addressed_blob_upload_pool_size` during `LocalServer::initialize` and shuts it down during `LocalServer::cleanup`.
architecture/blob-protocol	B049-069	`clickhouse-disks` initializes the blob-upload pool with `DB::Cas::initializeBlobUploadPool(16)` and shuts it down in its existing `SCOPE_EXIT_SAFE` block.
architecture/blob-protocol	B050-003	The generation-8 canonical snapshot wire remains byte-identical, retains mandatory `"lc":"live"`, and does not bump `G_BUILD`.
architecture/blob-protocol	B050-004	Snapshot encoding writes literal `lc = live`; decoding requires the `lc` field and accepts exactly `live`.
architecture/blob-protocol	B050-005	Generation-8 snapshot decoding explicitly rejects retired `rte` alone, `rts` alone, and `rte` plus `rts` instead of skipping them as unknown fields.
architecture/blob-protocol	B050-008	`snapshotFramingSize` takes only `(ns, snapshot_id, row_count)` and preserves its exact byte count.
architecture/blob-protocol	B050-015	`writeSnapshotMeta` writes `live`, `decodeRefTableSnapshot` requires `lc`, and decoding rejects every `lc` value other than `live`.
architecture/blob-protocol	B050-027	`src/Disks/tests/gtest_cas_fold_seal_format.cpp:318` intentionally constructs the generation-6 `nsc` record and requires the generation-7 decoder to reject the marker-driven handshake.
architecture/blob-protocol	B050-084	The HEAD-before-GET pair is a protocol step and must not be removed as a cheap performance optimization.
architecture/blob-protocol	B051-035	HTTP 412 `Precondition Failed` is deterministic for conditional requests and must not be retried, even when an SDK classifies a non-AWS error body as retryable `UNKNOWN`.
architecture/blob-protocol	B051-038	The GCS conditional dialect maps `If-None-Match: *` to `x-goog-if-generation-match: 0`, maps numeric `If-Match` to `x-goog-if-generation-match: <generation>`, rejects non-numeric `If-Match`, and rejects conditional `CompleteMultipartUpload`.
architecture/blob-protocol	B051-063	The object-storage interface provides `removeObjectIfTokenMatches` for token-exact deletion and `copyObjectConditional` for write-once server-side copy with `If-None-Match: *`, both with fail-closed defaults.
architecture/blob-protocol	B051-064	`conditionalOpsUseGenerationTokens` and `isBucketVersioningEnabled` expose GCS generation-token and versioned-bucket capabilities so conditional operations can fail closed when unsupported.
architecture/blob-protocol	B051-072	`WriteBufferFromFileBase` exposes `getResultObjectETag`, and `WriteBufferFromFileDecorator` forwards it so a CAS writer can record the written incarnation token without a follow-up HEAD request.
architecture/blob-protocol	AUDIT-M-003	A blob's identity H is a streaming, chunked cityHash128 computed incrementally via HashingWriteBuffer with block size DBMS_DEFAULT_HASHING_BLOCK_SIZE = 2048 as bytes are written, not a one-shot hash of a pre-existing buffer and not read from checksums.txt; the storage key is blobs/<H[:2]>/<H>.
architecture/blob-protocol	AUDIT-M-013	Upload by placement: new content is written PUT If-None-Match:* (idempotent, dedup hit skips upload); cold reuse of an existing blob point-reads the object's per-hash .meta freshness state (Core/CasBlobMeta.h, MetaState{Clean,Condemned}) — condemned triggers resurrect with a fresh incarnation_tag, else the blob is reused as-is; this point-read replaced the old writer-side retire view.
architecture/blob-protocol	AUDIT-M-014	The build writes a precommit binding to a /_precommits namespace shard before publish, giving GC visibility into in-flight blobs; the fold barrier holds the +1 edge until the manifest body is present. Publish is one CAS PUT to the ref shard updating refs[part_name] and appending {+, name, T} to the journal atomically; tokened deps are edge-protected (EDGE-BEFORE-OBSERVE) and not re-checked at promote, while non-tokened deps get a per-hash .meta point-read and copy-forward-if-condemned inline in the blob-revalidation loop.
architecture/blob-protocol	AUDIT-M2-012	CAS's condemned detection is a per-hash `.meta` point-read (`BlobMeta{version, state, condemn_round, size}` with `MetaState::Clean`/`Condemned`), not a writer-side retired-view cache; the earlier `Store::syncRetiredView`/`observed_gc_round`/`view_gate` machinery and the `MountLease.observed_gc_round` field are removed entirely. GC always writes a `Condemned` meta before ever deleting the body, so an absent meta reads exactly as live as a `Clean` one.
architecture/blob-protocol	AUDIT-M2-013	The writer consults the per-hash `.meta` with a single GET (`loadMeta`) only at `Build::observeAndAdmit` (dedup-hit/adopt path) and `Build::uploadFromSource` (fresh-upload/condemned-displacement path); a `Clean` or absent meta is adopted for free, a `Condemned` meta throws `ABORTED` so the caller re-uploads from source (INV-1) rather than reading the dying object.
architecture/blob-protocol	AUDIT-M2-014	EDGE-BEFORE-OBSERVE manifest-trust adoption: for a tokenless W-EVIDENCE dependency naming a blob referenced by a live committed source manifest, `Build::promote` trusts the durable manifest edge (`isTrustedAdopt`) with NO per-file HEAD/GET, because the source pins the blob (in-degree >= 1, GC cannot condemn it) and this build's own precommit edge is re-proved live at the promote owner-liveness gate before the trust fires; `copyForwardFromCondemned`/`isCopyForwardableTokenless` are deleted as a result.
architecture/blob-protocol	AUDIT-M2-108	On GCS's S3-compatible XML surface signed with sigv4, none of the conditional operations CAS needs are enforced (create-if-absent, conditional overwrite, and conditional delete are all silently ignored — a wrong-ETag DELETE on GCS S3-compat actually deletes the object); the same HMAC credential pair, signed instead with GOOG4-HMAC-SHA256 over the GCS XML endpoint, enforces all of them via `x-goog-if-generation-match`.
architecture/blob-protocol	AUDIT-M2-121	The pluggable blob-hash Phase 1 design encodes the hash algorithm identifier directly in the blob's storage path (`blobs/<algo>/<shard>/<hex>`), records the pool's chosen algorithm in `PoolMeta`, and fail-close-validates that recorded algorithm against the disk's configured algorithm on every open, so an existing pool is never silently re-hashed under a different algorithm.
architecture/blob-protocol	AUDIT-M2-187	The content-hash algorithm (CityHash128) is an unversioned, unpinned pool contract (AD1-3): a future change to the hash algorithm would silently fork dedup and break relink, because nothing pins or versions which hash algorithm a pool's content-addressed keys were computed with.
architecture/blob-protocol	AUDIT-M2-292	`CasEnvelope` is a 70-byte little-endian core header (magic, writer_version, compatibility_version, hash_algo, flags, header_len, domain_id[16], incarnation_tag[16], build_id[16], header_hash[8]) followed by TLV extensions padded to a per-pool fixed `header_len`, so blob payloads always start at a constant offset for a constant-shift `locate`; `logical_size`/`logical_hash` core fields were dropped 2026-07-11 to let the header be built before the payload streams (S3-native staging).
architecture/blob-protocol	AUDIT-M2-293	`CasBlobMeta` (the `.meta` freshness sibling) is a fixed `CAMT`-magic codec with `BODY_LEN=22` (magic[4]+version[1]+state[1]+condemn_round[8 LE]+size[8 LE]); `version` must equal 1 and `state` must be Clean=0 or Condemned=1, else decode fail-closes.
architecture/blob-protocol	AUDIT-M2-310	Plain dedup adoption itself is free of `.meta` write cost (`CasBuild.cpp:337`); an earlier revision of the soak audit mislabeled the dedup-adoption class as carrying `.meta` write tags.
architecture/blob-protocol	B002-086	The envelope's `domain_id`, `incarnation_tag`, and `build_id` are excluded from `logical_hash`, allowing a new physical incarnation without changing the content address.
architecture/blob-protocol	B002-087	The incarnation tag is carried in the object body rather than provider metadata so changing it creates a new backend token without a metadata copy and remains portable across S3, GCS, and Azure.
architecture/blob-protocol	B003-031	The ETag fix makes `WriteBufferFromS3` return the `PutObject` or `CompleteMultipartUpload` response ETag, eliminating the head-after-put `HEAD`.
